epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3094.86,0.63986,0.39232,1.09376,0.98738,0.95638,0.97447,0.79037,0.69486,0.31688,1.10059,0.000131581,0.000131581,0.000131581
85,3132.18,0.63811,0.38244,1.08374,0.99213,0.95079,0.97606,0.7912,0.69788,0.32019,1.09809,0.000118737,0.000118737,0.000118737
86,3169.2,0.63385,0.38639,1.09374,0.99095,0.94755,0.97697,0.79475,0.69287,0.31077,1.09668,0.000106608,0.000106608,0.000106608
87,3204.78,0.6077,0.37237,1.07376,0.98349,0.96427,0.98079,0.7999,0.68298,0.30822,1.0916,9.52034e-05,9.52034e-05,9.52034e-05
88,3241.9,0.62174,0.36745,1.08134,0.98399,0.95886,0.97642,0.79512,0.69125,0.31199,1.09373,8.4536e-05,8.4536e-05,8.4536e-05
89,3277.7,0.61054,0.38246,1.08834,0.98936,0.9557,0.97765,0.80139,0.68869,0.31147,1.09692,7.4616e-05,7.4616e-05,7.4616e-05
90,3315.57,0.61386,0.37375,1.07068,0.98101,0.96203,0.97721,0.80097,0.68501,0.30768,1.09507,6.54531e-05,6.54531e-05,6.54531e-05
91,3355.29,0.49009,0.27805,1.0102,0.97621,0.9557,0.97132,0.79441,0.69102,0.31142,1.1085,5.70564e-05,5.70564e-05,5.70564e-05
92,3390.21,0.48565,0.25753,1.01252,0.97882,0.95675,0.9734,0.79736,0.68518,0.31047,1.10264,4.94343e-05,4.94343e-05,4.94343e-05
93,3426.03,0.47891,0.25571,1.01785,0.98108,0.95253,0.97259,0.79889,0.68266,0.30489,1.10055,4.25941e-05,4.25941e-05,4.25941e-05
94,3461.41,0.4708,0.24786,1.00452,0.98182,0.95303,0.97462,0.80155,0.67535,0.30251,1.09206,3.65426e-05,3.65426e-05,3.65426e-05
95,3495.61,0.47804,0.25027,1.0162,0.98784,0.95253,0.97669,0.8019,0.67535,0.30227,1.09308,3.12859e-05,3.12859e-05,3.12859e-05
96,3532.24,0.46155,0.24155,0.99027,0.98272,0.95507,0.97454,0.79934,0.67363,0.3012,1.09021,2.68292e-05,2.68292e-05,2.68292e-05
97,3566.5,0.45612,0.2399,0.98527,0.98954,0.95202,0.976,0.80503,0.66693,0.29888,1.0876,2.31767e-05,2.31767e-05,2.31767e-05
98,3602,0.46775,0.24111,1.00239,0.98971,0.95201,0.9748,0.80586,0.66796,0.29962,1.08859,2.03321e-05,2.03321e-05,2.03321e-05
99,3636.32,0.45457,0.23501,0.99409,0.98975,0.95309,0.97692,0.80299,0.66713,0.30033,1.08748,1.82983e-05,1.82983e-05,1.82983e-05
100,3672.45,0.45356,0.23725,0.99201,0.98971,0.95524,0.97494,0.8038,0.66615,0.29941,1.08747,1.70772e-05,1.70772e-05,1.70772e-05
